study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
book,,0,0,0,2,,,,,224.56947799999762,224.56947799999762,1,2.2386312000016915,,,,,,,,,,,,,708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
piano,,0,1,1,4,,,,,226.75243480000063,226.75243480000063,1.0074074074074073,1.985126899999159,,,,,,,,,,,,,708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
vase,,0,2,2,0,,,,,228.7602024000007,228.7602024000007,1.0074074074074073,0.9602792000005138,,,,,,,,,,,,,708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
cushion,,0,3,3,3,,,,,229.74316170000384,229.74316170000384,1.0074074074074073,0.9293787999995402,,,,,,,,,,,,,708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
tiger,,0,4,4,1,,,,,230.69329699999798,230.69329699999798,1.0074074074074073,0.8096946000005119,,,,,,,,,,,,,708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_a_e,,,,,0,0,0,0,,,,,231.53965679999965,231.53965679999965,231.53965679999965,0.0135703000050853,vase,[0.012962962962962963],[-0.3194444444444444],[1],[0],[0],[7.068722099997103],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_p_a_d_,,,,,0,1,1,7,,,,,238.62135950000084,238.62135950000084,238.62135950000084,0.02033849999861559,,[0.004629629629629629],[-0.3],[1],[0],[0],[7.795566100001452],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_ia_n_,,,,,0,2,2,4,,,,,246.42713989999902,246.42713989999902,246.42713989999902,0.0022620000017923303,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[7.479057199998351],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_oo_,,,,,0,3,3,2,,,,,253.91051529999822,253.91051529999822,253.91051529999822,0.0019291999997221865,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.531306199998653],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_ea_o_,,,,,0,4,4,5,,,,,254.44352120000258,254.44352120000258,254.44352120000258,0.0022020999967935495,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.6453865000003134],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,t_g_r,,,,,0,5,5,1,,,,,255.09322570000222,255.09322570000222,255.09322570000222,0.002415299997664988,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.4462201999995159],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,c_m_r_,,,,,0,6,6,6,,,,,255.54379830000107,255.54379830000107,255.54379830000107,0.0028768999982276,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[1.646000599997933],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,o_a_n_e,,,,,0,7,7,9,,,,,257.1937342000019,257.1937342000019,257.1937342000019,0.003142699999443721,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.3448329000020749],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,c_s_h_o_n,,,,,0,8,8,3,,,,,257.54371710000123,257.54371710000123,257.54371710000123,0.0019695000009960495,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.513888000001316],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
,_o_s_,,,,,0,9,9,8,,,,,258.06066580000333,258.06066580000333,258.06066580000333,0.002989000000525266,,[0.11666666666666667],[-0.32222222222222224],[1],[0],[0],[0.9627895000012359],['text_3'],708877,001,2022-10-14_12h06.15.657,Tut 5,2022.2.4,59.85884088233616,
